"choiceid","id","choice","price_A","price_B","time_A","time_B","change_A","change_B","comfort_A","comfort_B"
172,16,"A",6300,5250,185,165,0,0,1,2
173,16,"B",5250,5775,185,165,0,0,1,1
174,16,"A",5250,6300,185,150,0,0,1,2
175,16,"B",5250,5250,150,165,1,0,1,2
176,16,"A",6300,6300,150,165,0,1,2,1
177,16,"A",5250,6300,165,150,0,0,2,2
178,16,"A",6300,5775,150,185,0,1,2,2
179,16,"B",6300,5250,150,150,0,1,2,1
180,16,"B",6300,5775,165,185,1,1,1,2
181,17,"B",2500,2000,125,100,1,0,1,1
182,17,"B",2500,2500,110,100,0,1,1,0
183,17,"B",2500,1500,110,110,0,1,1,1
184,17,"B",2500,2000,110,110,0,1,1,0
185,17,"B",2500,1500,110,125,0,0,1,0
186,17,"A",1500,2500,125,100,0,1,0,0
187,17,"B",2500,1500,100,100,1,1,0,1
188,17,"B",2000,1500,110,125,1,0,0,0
189,17,"B",2000,1500,100,125,0,0,1,0
190,17,"A",2000,2500,110,100,1,1,0,0
191,17,"B",1500,1500,125,100,0,1,0,1
192,17,"A",1500,2000,110,110,1,1,1,0
193,17,"B",2000,2000,100,110,0,1,1,0
194,17,"B",2500,2000,100,125,1,1,0,1
195,17,"A",1500,1500,125,110,0,1,0,1
196,18,"A",3600,4000,125,140,0,1,1,1
197,18,"A",3200,4000,160,140,1,1,1,1
198,18,"A",4000,4000,160,140,0,1,0,1
199,18,"A",3600,4000,125,160,0,0,1,0
200,18,"A",3200,4000,140,160,0,0,1,0
201,18,"B",3200,4000,160,125,1,1,1,1
202,18,"B",3200,3600,140,125,0,0,1,1
203,18,"B",3200,3200,125,140,1,0,0,1
204,18,"A",3200,4000,160,160,1,0,1,0
205,18,"A",3600,3200,140,160,1,1,0,1
206,18,"B",4000,3600,140,160,1,1,1,1
207,18,"A",4000,3600,160,160,0,1,0,1
208,18,"A",3600,4000,140,125,1,1,0,1
209,19,"A",2700,3000,85,95,0,0,1,1
210,19,"B",2700,3000,105,85,0,0,0,0
211,19,"A",2700,2700,85,105,0,0,1,0
212,19,"A",2700,2400,85,105,0,0,1,1
213,19,"A",2700,2400,105,105,0,0,0,1
214,19,"A",2700,2700,105,95,0,0,0,1
215,19,"B",2400,2400,85,95,0,0,1,0
216,19,"A",3000,2700,85,85,0,0,0,1
217,19,"A",2400,3000,85,85,0,0,1,0
218,19,"A",2400,3000,105,95,0,0,1,1
219,19,"A",2400,2700,105,95,0,0,1,1
220,20,"B",2800,1960,95,95,0,0,1,0
221,20,"A",2380,2380,95,110,0,0,1,0
222,20,"A",2800,2380,120,120,0,0,0,1
223,20,"B",1960,2380,110,110,0,0,1,0
224,20,"B",2800,1960,120,110,0,0,0,1
225,20,"A",2800,2800,95,120,0,0,1,0
226,20,"B",2380,2800,120,110,0,0,1,1
227,20,"B",2380,2800,110,95,0,0,0,1
228,20,"B",2800,2800,120,110,0,0,0,1
229,20,"A",2800,1960,110,120,0,0,1,1
230,20,"B",1960,2800,120,120,0,0,1,0
231,21,"B",2520,2520,135,125,1,0,1,1
232,21,"B",2800,2800,150,125,0,1,1,0
233,21,"B",2800,2800,135,150,1,0,1,1
234,21,"B",2800,2240,135,150,1,1,1,1
235,21,"A",2240,2800,150,150,1,0,1,1
236,21,"A",2520,2800,150,125,1,1,0,0
237,21,"B",2520,2520,125,150,0,1,1,0
238,21,"A",2240,2520,150,125,1,0,1,1
239,21,"A",2240,2520,125,150,1,1,1,0
240,21,"B",2800,2240,125,150,1,1,0,1
241,21,"A",2520,2800,135,125,1,1,1,0
242,21,"B",2240,2240,125,135,1,0,1,0
243,21,"A",2240,2520,150,150,1,1,1,0
244,22,"A",3500,4375,130,130,1,2,1,2
245,22,"A",4375,5250,130,115,2,1,2,2
246,22,"B",3500,3500,140,115,1,2,2,1
247,22,"A",4375,4375,140,130,1,2,1,2
248,22,"A",4375,3500,140,140,1,1,1,2
249,22,"B",3500,3500,130,115,1,2,1,1
250,22,"B",5250,5250,115,140,1,2,2,1
251,22,"B",4375,3500,115,130,1,1,1,1
252,22,"B",4375,5250,130,140,2,2,2,1
253,23,"B",4025,4025,110,100,0,0,2,1
254,23,"A",3500,4550,100,110,1,1,2,1
255,23,"B",4550,3500,90,100,0,1,2,2
256,23,"B",4025,4025,110,90,0,1,2,1
257,23,"B",4550,3500,100,100,0,1,1,2
258,23,"B",4550,4550,90,110,0,1,2,1
259,23,"B",3500,3500,100,110,1,0,2,1
260,23,"B",4025,3500,100,100,0,1,1,2
261,23,"B",4025,4025,100,90,0,1,1,1
262,23,"B",4025,3500,90,110,1,0,1,1
263,23,"B",4550,4025,110,110,1,0,1,2
264,23,"A",4025,4550,110,100,0,0,2,1
265,23,"A",3500,4025,100,90,1,1,2,1
266,24,"A",3600,4000,105,105,0,0,0,1
267,24,"B",3200,3600,105,95,0,0,1,1
268,24,"B",3600,4000,120,95,0,0,1,0
269,24,"A",3600,3600,95,105,0,0,1,0
270,24,"B",3600,4000,95,95,0,0,1,0
271,24,"B",3200,3600,120,95,0,0,0,1
272,24,"B",3200,4000,120,105,0,0,0,1
273,24,"B",3600,3200,105,105,0,0,0,1
274,24,"B",4000,3200,95,95,0,0,0,1
275,25,"A",2800,3500,115,135,0,0,1,1
276,25,"A",2800,3500,100,115,1,1,1,0
277,25,"A",3500,3150,100,135,1,1,1,1
278,25,"A",3500,2800,100,135,1,1,1,0
279,25,"B",2800,3500,115,115,0,1,1,0
280,25,"B",2800,2800,135,115,1,0,0,1
281,25,"A",3500,2800,100,115,1,0,1,1
282,25,"B",2800,3150,135,115,1,1,0,1
283,25,"A",3500,3500,100,115,1,1,1,0
284,25,"B",2800,3150,100,100,1,0,1,0
285,25,"A",2800,3500,135,135,1,0,0,1
286,25,"A",3500,3150,135,135,0,1,1,1
287,26,"A",2800,3150,125,125,1,1,0,1
288,26,"B",2800,3150,105,115,0,0,1,0
289,26,"B",3150,2800,105,125,1,1,1,0
290,26,"B",2800,3150,125,115,1,0,0,0
291,26,"B",3150,3500,125,115,1,1,1,1
292,26,"A",2800,2800,105,125,0,1,1,0
293,26,"A",3150,2800,105,115,1,1,1,1
294,26,"B",3500,3500,105,125,1,0,0,1
295,26,"A",2800,3500,115,105,1,1,1,0
296,26,"B",3500,2800,125,125,0,1,1,0
297,26,"A",3500,3150,125,105,0,1,1,1
298,27,"B",3920,3360,150,125,0,0,1,1
299,27,"B",3360,2800,140,125,0,1,1,1
300,27,"B",3360,2800,125,150,0,0,1,1
301,27,"A",2800,3920,140,150,0,0,2,1
302,27,"B",3360,3920,150,150,1,0,2,1
303,27,"B",3920,3360,125,140,0,0,2,1
304,27,"A",2800,3360,140,140,0,0,2,1
305,27,"A",3360,3920,150,125,1,0,2,2
306,27,"A",3920,3920,140,125,1,0,1,2
307,27,"B",2800,2800,140,150,0,0,2,1
308,27,"A",2800,2800,125,150,1,0,1,1
309,27,"A",3920,3360,140,150,1,1,1,2
310,27,"B",3920,3920,150,140,0,1,1,1
311,27,"A",2800,3360,140,125,0,0,2,1
312,28,"B",3185,2815,133,108,0,0,2,1
313,28,"B",2450,2815,133,108,1,0,1,1
314,28,"A",3185,3185,108,123,1,0,1,1
315,28,"A",3185,2815,108,133,1,0,1,1
316,28,"A",2450,3185,133,123,1,0,1,1
317,28,"A",2450,3185,108,123,0,0,2,1
318,28,"A",2450,2815,133,133,1,0,1,1
319,28,"B",2450,2450,133,108,1,0,1,2
320,28,"B",2815,3185,133,123,0,0,1,1
321,28,"B",2450,2815,123,108,0,0,1,1
322,28,"A",2815,3185,123,123,1,0,2,1
323,28,"A",2450,3185,108,108,0,1,2,1
324,28,"A",2450,3185,123,108,0,1,1,1
325,28,"B",2450,2450,123,108,0,0,1,2
326,28,"B",2815,3185,123,108,1,1,2,1
327,28,"B",3185,2450,108,133,1,1,1,1
328,28,"B",2815,2450,108,108,0,0,1,2
329,29,"A",3150,3500,140,140,0,1,1,1
330,29,"B",2800,2800,140,120,2,0,0,1
331,29,"A",3150,3500,105,140,2,1,1,1
332,29,"A",2800,3500,105,105,1,0,1,0
333,29,"A",2800,3150,105,120,1,1,1,0
334,29,"A",3500,3150,105,140,0,0,0,1
335,29,"A",3500,3150,105,105,0,2,0,1
336,29,"B",3150,2800,140,140,0,2,1,0
337,29,"B",3500,2800,105,140,0,2,0,0
338,29,"A",3150,3500,140,120,0,2,1,1
339,29,"B",3150,3150,140,105,0,2,1,1
340,29,"B",3500,3500,140,120,1,2,1,1
341,30,"A",2800,3500,135,150,1,1,0,1
342,30,"A",2100,3500,135,135,1,0,1,1
343,30,"B",3500,2100,135,150,0,0,1,0
344,30,"B",2800,2100,125,125,0,1,1,1
345,30,"A",2800,3500,150,135,1,0,1,1
346,30,"B",2800,2100,135,150,1,0,0,0
347,30,"A",2100,2800,135,135,1,1,1,0
348,30,"A",2100,3500,125,125,1,1,1,0
349,30,"A",2100,2800,150,125,0,0,0,1
350,30,"A",2800,2800,125,135,0,1,1,0
351,30,"B",3500,2800,125,135,1,1,0,0
352,30,"B",2100,2100,135,150,1,0,1,0
353,30,"A",3500,3500,135,125,0,1,1,0
354,30,"B",2800,2100,125,135,0,1,1,1
355,30,"B",2100,2100,125,150,1,0,1,0
356,31,"A",1000,1300,165,165,0,1,1,1
357,31,"A",1150,1150,145,165,1,0,1,2
358,31,"A",1000,1300,180,145,1,0,2,2
359,31,"B",1300,1150,145,180,0,0,2,1
360,31,"A",1300,1300,180,145,0,0,1,2
361,31,"B",1150,1150,145,180,1,0,1,1
362,31,"B",1300,1000,180,180,0,1,1,2
363,31,"B",1150,1300,165,165,0,1,2,1
364,31,"B",1300,1150,145,165,0,0,2,2
365,31,"B",1150,1000,180,180,0,1,1,2
366,31,"A",1300,1300,180,165,0,1,1,1
367,31,"B",1300,1150,180,145,0,1,1,1
368,32,"B",4810,4255,107,97,0,0,1,1
369,32,"B",4255,4810,122,107,0,0,1,1
370,32,"A",4810,4810,107,97,0,0,1,2
371,32,"B",3700,4255,122,122,0,0,2,1
372,32,"A",4255,4810,122,97,0,0,1,2
373,32,"A",4810,3700,122,122,1,0,1,2
374,32,"A",4810,4255,97,107,0,1,2,2
375,32,"B",4810,3700,107,97,0,1,1,1
376,32,"A",3700,3700,107,97,0,1,1,1
377,32,"A",4810,4255,122,107,1,1,1,2
378,32,"B",3700,4810,122,97,0,0,2,2
379,32,"A",4255,3700,97,107,0,0,1,1
380,32,"B",4810,4810,122,97,1,0,1,2
381,32,"A",3700,4255,122,107,0,1,2,2
382,33,"A",3000,3750,115,125,0,0,1,1
383,33,"A",3000,3000,140,125,0,0,0,1
384,33,"A",3375,3375,125,115,0,0,0,1
385,33,"A",3375,3000,125,125,0,0,0,1
386,33,"B",3375,3000,115,140,0,0,1,0
387,33,"A",3000,3750,140,115,0,0,0,0
388,33,"A",3000,3375,140,125,0,0,0,0
389,33,"A",3000,3375,115,125,0,0,1,0
390,33,"A",3000,3000,115,140,0,0,1,0
391,33,"A",3375,3750,115,115,0,0,1,0
392,33,"A",3000,3750,125,115,0,0,1,0
393,33,"A",3375,3750,140,125,0,0,1,1
394,33,"B",3750,3375,115,140,0,0,0,1
395,33,"A",3000,3375,125,115,0,0,1,1
396,34,"B",1900,1900,120,95,0,0,1,1
397,34,"B",3800,1900,120,120,0,0,0,1
398,34,"B",1900,1900,95,105,0,0,1,0
399,34,"A",1900,3800,120,95,0,0,1,1
400,34,"A",1900,2850,120,105,0,0,1,1
401,34,"B",3800,3800,120,95,0,0,0,1
402,34,"B",3800,2850,95,105,0,0,1,1
403,34,"A",1900,2850,95,95,0,0,1,0
404,34,"B",3800,2850,120,120,0,0,0,1
405,34,"A",2850,3800,120,95,0,0,1,1
406,34,"B",2850,1900,95,120,0,0,0,1
407,34,"B",3800,3800,120,105,0,0,0,1
408,35,"B",4000,3200,135,120,1,0,1,1
409,35,"B",4000,3200,135,155,1,1,1,0
410,35,"B",4000,2400,155,120,0,1,1,1
411,35,"B",3200,3200,155,120,1,0,0,1
412,35,"B",3200,2400,155,120,1,1,0,1
413,35,"B",3200,2400,120,135,0,0,1,0
414,35,"B",3200,3200,135,155,1,1,1,0
415,35,"A",2400,4000,120,120,1,1,1,0
416,35,"A",2400,4000,155,120,1,1,1,0
417,35,"B",2400,3200,155,120,1,0,1,1
418,35,"B",3200,4000,135,120,1,1,1,0
419,35,"B",2400,3200,155,155,1,1,1,0
420,35,"B",2400,2400,120,135,1,0,1,0
421,35,"A",2400,3200,120,120,1,0,1,1
422,36,"A",3750,7500,140,150,0,1,1,1
423,36,"B",7500,5625,165,140,0,1,1,1
424,36,"B",5625,3750,150,150,0,1,0,1
425,36,"A",3750,5625,165,140,1,1,0,1
426,36,"B",7500,7500,165,140,0,1,1,0
427,36,"B",7500,5625,165,165,0,1,1,1
428,36,"A",5625,7500,165,150,1,1,1,1
429,36,"B",3750,3750,165,150,1,1,0,1
430,36,"B",7500,3750,140,150,1,1,0,1
431,36,"A",3750,7500,165,140,1,1,0,0
432,36,"A",5625,7500,150,140,0,1,0,0
433,36,"B",7500,5625,140,140,1,1,0,1
434,36,"A",5625,5625,140,150,1,0,1,0
435,36,"A",5625,7500,165,140,1,1,1,0
436,36,"B",7500,7500,165,150,0,1,1,1
437,37,"A",5200,5200,145,200,0,2,0,1
438,37,"B",5200,3900,175,145,1,2,1,1
439,37,"B",3900,2600,175,145,0,1,1,1
440,37,"B",3900,2600,175,175,0,2,1,0
441,37,"B",2600,2600,200,175,0,2,1,0
442,37,"B",5200,2600,145,175,0,2,0,0
443,37,"B",3900,2600,175,200,0,0,1,1
444,37,"A",3900,5200,145,145,2,0,1,0
445,37,"A",3900,5200,175,145,0,0,1,0
446,37,"A",2600,2600,145,200,1,0,1,1
447,37,"B",3900,3900,200,175,1,0,0,1
448,37,"B",3900,3900,175,145,0,2,1,1
449,37,"B",3900,2600,145,175,2,2,1,0
450,37,"B",5200,3900,175,200,1,1,1,0
451,37,"B",2600,2600,175,145,2,1,0,1
452,37,"A",3900,5200,200,145,1,0,0,0
453,38,"B",3060,2520,125,110,1,0,0,0
454,38,"A",3600,2520,110,125,1,1,1,1
455,38,"A",2520,3060,100,125,1,1,1,0
456,38,"A",3600,2520,125,100,0,1,1,1
457,38,"B",3060,3600,125,100,1,1,0,0
458,38,"B",3600,3600,125,100,0,1,1,0
459,38,"A",3600,3060,100,100,1,0,0,1
460,38,"A",3060,2520,125,125,1,1,0,1
461,38,"A",3600,2520,100,110,1,0,0,0
462,38,"B",3060,3060,125,110,1,1,0,1
463,38,"A",2520,3060,110,100,0,0,0,1
464,38,"A",3600,3060,110,125,1,1,1,0
465,39,"A",4000,5600,122,132,1,2,1,1
466,39,"A",5600,4000,122,132,1,1,1,2
467,39,"B",4800,4000,132,107,1,2,1,1
468,39,"B",5600,4800,132,122,2,2,1,2
469,39,"A",4800,4000,132,132,1,1,1,2
470,39,"A",5600,5600,107,132,1,2,2,1
471,39,"A",4800,4800,132,122,1,2,1,2
472,39,"A",4000,5600,107,107,2,1,1,2
473,39,"A",4000,5600,132,107,1,1,2,2
474,39,"A",4000,4800,107,107,2,1,1,1
475,39,"A",4000,4800,132,122,1,2,2,2
476,39,"A",4000,4800,122,107,1,1,1,1
477,39,"A",4800,5600,122,107,2,1,2,2
478,39,"B",4000,4000,122,107,1,2,1,1
479,39,"A",4800,5600,132,122,1,1,1,1
480,40,"B",7800,6900,150,135,2,1,1,1
481,40,"A",6900,7800,150,135,1,1,2,1
482,40,"B",6000,6000,135,150,2,1,2,1
483,40,"A",6000,6000,135,165,2,1,2,1
484,40,"A",6000,7800,135,150,2,2,2,1
485,40,"A",6000,6900,135,150,2,1,2,2
486,40,"B",7800,6900,150,165,2,2,1,1
487,40,"B",6900,7800,165,135,2,1,1,1
488,40,"A",6900,6000,135,165,1,1,1,1
489,40,"B",6900,6000,135,150,1,1,1,1
490,40,"A",6000,6900,165,150,1,1,1,2
491,40,"A",7800,7800,150,165,2,1,1,2
492,40,"A",6000,6900,135,135,2,1,2,1
493,41,"A",3400,3400,115,150,1,1,1,1
494,41,"A",2800,2800,150,130,1,1,0,1
495,41,"A",2800,4000,115,115,0,1,1,0
496,41,"A",2800,3400,150,115,1,1,0,1
497,41,"A",3400,2800,130,130,0,1,0,1
498,41,"A",3400,2800,130,150,0,1,0,0
499,41,"A",2800,2800,115,150,0,1,1,0
500,41,"A",4000,3400,115,150,1,1,0,1
501,41,"B",4000,2800,115,150,1,1,0,0
502,41,"B",4000,2800,150,150,0,1,1,0
503,41,"A",4000,3400,150,150,0,1,1,1
504,41,"B",4000,4000,130,150,1,0,1,1
505,41,"B",3400,4000,115,150,1,0,1,1
506,41,"A",4000,3400,115,115,1,1,0,1
507,41,"B",3400,2800,115,130,1,1,1,1
508,41,"B",2800,4000,130,150,1,0,1,1
509,41,"A",4000,4000,115,150,1,0,0,1
510,41,"B",2800,3400,115,130,0,0,1,0
511,41,"A",3400,4000,150,130,1,1,1,1
512,42,"A",2040,3400,105,115,0,0,1,1
513,42,"B",2720,2040,95,115,0,0,1,0
514,42,"A",2040,3400,95,95,0,0,1,0
515,42,"A",2040,3400,115,95,0,0,0,0
516,42,"B",3400,2720,105,115,0,0,1,1
517,42,"A",2040,2040,115,105,0,0,0,1
518,42,"B",3400,2720,95,95,0,0,0,1
519,42,"B",2720,2040,95,105,0,0,1,1
520,42,"B",3400,2720,95,115,0,0,0,1
521,42,"A",2720,2720,105,95,0,0,0,1
522,42,"A",2040,2720,105,105,0,0,1,0
523,42,"B",2040,2040,95,115,0,0,1,0
524,43,"A",3500,3850,150,170,1,2,2,2
525,43,"A",3500,3850,150,150,1,1,2,1
526,43,"B",3500,3850,185,150,2,1,1,1
527,43,"A",4200,3500,150,185,2,2,1,1
528,43,"A",3850,4200,170,185,2,1,2,2
529,43,"A",3500,4200,170,150,1,2,1,1
530,43,"B",3850,4200,185,170,1,1,1,1
531,43,"B",3500,3500,170,150,1,1,1,2
532,43,"B",3850,4200,185,150,1,2,1,1
533,43,"B",3500,3850,170,150,1,1,1,1
534,44,"A",3500,5000,135,170,1,1,1,1
535,44,"B",3500,5000,170,135,2,0,0,0
536,44,"B",3500,3500,150,135,0,1,1,1
537,44,"A",4250,4250,135,170,2,0,1,1
538,44,"B",4250,3500,135,150,2,0,1,1
539,44,"A",4250,5000,150,135,1,0,0,0
540,44,"A",4250,3500,170,170,0,2,1,0
541,44,"B",5000,5000,170,150,1,2,1,1
542,44,"A",3500,5000,150,135,0,0,1,0
543,44,"B",4250,4250,135,150,2,1,1,0
544,44,"B",4250,5000,170,135,0,0,1,0
545,44,"B",5000,3500,150,170,2,2,1,0
546,44,"A",3500,4250,150,150,0,1,1,0
547,44,"B",5000,4250,135,135,0,2,0,1
548,45,"A",2400,3000,95,110,0,0,1,1
549,45,"B",3000,1800,95,110,0,0,0,0
550,45,"B",2400,1800,95,110,0,0,1,0
551,45,"A",1800,2400,80,80,0,0,1,0
552,45,"B",3000,1800,95,95,0,0,0,1
553,45,"B",3000,1800,80,110,0,0,1,0
554,45,"B",3000,1800,80,95,0,0,1,1
555,45,"B",2400,1800,80,95,0,0,0,1
556,45,"B",3000,2400,80,95,0,0,1,1
557,45,"B",1800,1800,110,95,0,0,0,1
